年,地域,男,女
2010,全　　国,182.4,92.2
2010,01　北海道,199.1,99.2
2010,02　青　森,215.9,105.6
2010,03　岩　手,187.4,92.7
2010,04　宮　城,177.1,90.3
2010,05　秋　田,205.7,94.3
2010,06　山　形,179.6,86.7
2010,07　福　島,182.6,89.2
2010,08　茨　城,180.2,92.2
2010,09　栃　木,179.6,93.7
2010,10　群　馬,177,91.7
2010,11　埼　玉,179.5,93.4
2010,12　千　葉,170.6,92
2010,13　東　京,183.2,94.5
2010,14　神奈川,175.8,92.4
2010,15　新　潟,187.9,85.6
2010,16　富　山,177.4,87.1
2010,17　石　川,182,87.2
2010,18　福　井,166.3,87.9
2010,19　山　梨,174.2,80.2
2010,20　長　野,148.4,80.3
2010,21　岐　阜,168.7,88.1
2010,22　静　岡,172.8,90.1
2010,23　愛　知,181.6,93.1
2010,24　三　重,172,84.3
2010,25　滋　賀,174.8,84.9
2010,26　京　都,179.4,96.5
2010,27　大　阪,198.2,100.3
2010,28　兵　庫,192.2,93.4
2010,29　奈　良,184.3,93.1
2010,30　和歌山,197.2,97.2
2010,31　鳥　取,198.1,97.8
2010,32　島　根,177.7,86
2010,33　岡　山,172.2,84.8
2010,34　広　島,177.6,86.5
2010,35　山　口,185.5,93.7
2010,36　徳　島,180.9,88.7
2010,37　香　川,172.3,89
2010,38　愛　媛,185.9,87.4
2010,39　高　知,187.9,85.7
2010,40　福　岡,198,96.4
2010,41　佐　賀,194.6,95
2010,42　長　崎,190.5,97.3
2010,43　熊　本,167.7,87.3
2010,44　大　分,172.4,82.1
2010,45　宮　崎,173.6,89.5
2010,46　鹿児島,176.7,91.6
2010,47　沖　縄,158.9,85.2
2015,全　　国,165.3,87.7
2015,01　北海道,184.6,99.5
2015,02　青　森,201.6,103
2015,03　岩　手,167.3,90.3
2015,04　宮　城,160.5,84.5
2015,05　秋　田,185.8,97.7
2015,06　山　形,162.5,81.8
2015,07　福　島,165.5,89.9
2015,08　茨　城,172.9,90.6
2015,09　栃　木,163.5,85.1
2015,10　群　馬,161.9,84.4
2015,11　埼　玉,164.6,87.4
2015,12　千　葉,159.3,85.1
2015,13　東　京,163,88.9
2015,14　神奈川,159.4,89.6
2015,15　新　潟,168.5,83
2015,16　富　山,170.2,84.4
2015,17　石　川,163,87.6
2015,18　福　井,150.5,86.6
2015,19　山　梨,152.9,86.1
2015,20　長　野,132.4,76.6
2015,21　岐　阜,160.8,86.7
2015,22　静　岡,158,81.3
2015,23　愛　知,159.4,89.4
2015,24　三　重,160.7,81.1
2015,25　滋　賀,149.1,82.9
2015,26　京　都,159.5,85.1
2015,27　大　阪,181.3,93
2015,28　兵　庫,167.3,88.7
2015,29　奈　良,160,82.3
2015,30　和歌山,176.2,86.7
2015,31　鳥　取,185.8,87.1
2015,32　島　根,172.6,79.7
2015,33　岡　山,156.7,75.2
2015,34　広　島,158,82.1
2015,35　山　口,167,91.7
2015,36　徳　島,160.1,78.1
2015,37　香　川,159.6,79.1
2015,38　愛　媛,169,80.8
2015,39　高　知,172.7,83.8
2015,40　福　岡,175,93.7
2015,41　佐　賀,172.9,87.5
2015,42　長　崎,172.8,91
2015,43　熊　本,154.5,81
2015,44　大　分,151,80.3
2015,45　宮　崎,165.1,86.1
2015,46　鹿児島,161.4,85.6
2015,47　沖　縄,153,86.2
